customer_id,age,gender,location,total_spent,purchase_amount_usd,previous_purchases,frequency_of_purchases,payment_method,category,item_purchased,season,size,color,shipping_type,value_tier,promo_dependency_score,loyalty_type,satisfaction_flag,repeat_buyer_segment,is_subscriber,discount_flag,promo_flag,discount_applied,promo_code_used,review_rating,subscription_status,city_opportunity,city_avg_spend,city_promo_pct,category_type,cat_avg_spend,cat_promo_pct
1,55,Male,Kentucky,53,53,14,Fortnightly,Venmo,Clothing,Blouse,Winter,L,Gray,Express,Silver,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.1,Yes,Low Priority,55.72,0.43,Entry Category,60.03,0.42
2,19,Male,Maine,64,64,2,Fortnightly,Cash,Clothing,Sweater,Winter,L,Maroon,Express,Gold,1.0,Discount Dependent,Low,Low,1,1,1,Yes,Yes,3.1,Yes,Growth Market,56.99,0.35,Entry Category,60.03,0.42
3,50,Male,Massachusetts,73,73,23,Weekly,Credit Card,Clothing,Jeans,Spring,S,Maroon,Free Shipping,Gold,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.1,Yes,Promo Market,60.89,0.49,Entry Category,60.03,0.42
4,21,Male,Rhode Island,90,90,49,Weekly,Paypal,Footwear,Sandals,Spring,M,Maroon,Next Day Air,Platinum,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,3.5,Yes,Golden Market,61.44,0.4,Entry Category,60.26,0.43
5,45,Male,Oregon,49,49,31,Annually,Paypal,Clothing,Blouse,Spring,M,Turquoise,Free Shipping,Silver,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.7,Yes,Low Priority,57.34,0.51,Entry Category,60.03,0.42
6,46,Male,Wyoming,20,20,14,Weekly,Venmo,Footwear,Sneakers,Summer,M,White,Standard,Bronze,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,2.9,Yes,Golden Market,60.69,0.42,Entry Category,60.26,0.43
7,63,Male,Montana,85,85,49,Quarterly,Cash,Clothing,Shirt,Fall,M,Gray,Free Shipping,Platinum,1.0,Discount Dependent,Low,High,1,1,1,Yes,Yes,3.2,Yes,Golden Market,60.25,0.38,Entry Category,60.03,0.42
8,27,Male,Louisiana,34,34,19,Weekly,Credit Card,Clothing,Shorts,Winter,L,Charcoal,Free Shipping,Bronze,1.0,Discount Dependent,Low,Medium,1,1,1,Yes,Yes,3.2,Yes,Growth Market,57.71,0.42,Entry Category,60.03,0.42
9,26,Male,West Virginia,97,97,8,Annually,Venmo,Outerwear,Coat,Summer,L,Silver,Express,Platinum,1.0,Discount Dependent,Low,Low,1,1,1,Yes,Yes,2.6,Yes,Promo Market,63.88,0.49,Entry Category,57.17,0.44
10,57,Male,Missouri,31,31,4,Quarterly,Cash,Accessories,Handbag,Spring,M,Pink,2-Day Shipping,Bronze,1.0,Discount Dependent,High,Low,1,1,1,Yes,Yes,4.8,Yes,Low Priority,57.91,0.49,Retention Category,59.84,0.44
11,53,Male,Arkansas,34,34,26,Bi-Weekly,Bank Transfer,Footwear,Shoes,Fall,L,Purple,Store Pickup,Bronze,1.0,Discount Dependent,High,Medium,1,1,1,Yes,Yes,4.1,Yes,Promo Market,61.11,0.47,Entry Category,60.26,0.43
